-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     430.525us         0.00%     430.525us       0.408us          1056  
                                     chunk_fwd_kernel_o         0.00%       0.000us         0.00%       0.000us       0.000us     391.646us         0.00%     391.646us       8.159us            48  
                              _causal_conv1d_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     308.095us         0.00%     308.095us       6.419us            48  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     272.703us         0.00%     272.703us       1.420us           192  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     264.960us         0.00%     264.960us       0.823us           322  
                                     aten::masked_fill_         0.00%     336.973us         0.00%     664.011us      13.834us     255.200us         0.00%     268.672us       5.597us            48  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     255.200us         0.00%     255.200us       5.317us            48  
                                              aten::sub         0.00%       1.341ms         0.01%       2.710ms       9.610us     240.704us         0.00%     240.704us       0.854us           282  
                                 _zero_kv_blocks_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     207.552us         0.00%     207.552us     207.552us             1  
                                           aten::argmax         0.00%     381.679us         0.00%     724.910us      22.653us     190.718us         0.00%     190.718us       5.960us            32  
                    merge_16x16_to_64x64_inverse_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     184.416us         0.00%     184.416us       3.842us            48  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     176.927us         0.00%     176.927us       5.529us            32  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     154.208us         0.00%     154.208us       1.205us           128  
                                              aten::bmm         0.60%     168.870ms         0.61%     170.608ms       5.331ms     101.887us         0.00%     117.823us       3.682us            32  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      94.720us         0.00%      94.720us       0.987us            96  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      85.088us         0.00%      85.088us       1.773us            48  
                                _fused_post_conv_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      84.320us         0.00%      84.320us       1.757us            48  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      78.368us         0.00%      78.368us       2.449us            32  
                       chunk_local_cumsum_scalar_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      71.040us         0.00%      71.040us       1.480us            48  
                                              aten::cat         0.00%     341.136us         0.00%     634.496us      12.441us      68.736us         0.00%      68.736us       1.348us            51  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      66.976us         0.00%      66.976us       0.837us            80  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 6, 7, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      63.295us         0.00%      63.295us       3.956us            16  
                                     aten::index_select         0.00%     908.284us         0.01%       1.661ms      25.960us      58.144us         0.00%      58.144us       0.908us            64  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      58.144us         0.00%      58.144us       1.817us            32  
                                      aten::bitwise_not         0.00%     206.735us         0.00%     412.415us       8.592us      52.575us         0.00%      53.887us       1.123us            48  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      52.575us         0.00%      52.575us       1.095us            48  
                              aten::_local_scalar_dense         0.00%     256.528us         0.00%     596.192us       0.500us      47.104us         0.00%      47.104us       0.039us          1193  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      41.312us         0.00%      41.312us       1.291us            32  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      40.544us         0.00%      40.544us       1.267us            32  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      40.544us         0.00%      40.544us       1.158us            35  
void gemmSN_NN_kernel<float, 256, 4, 2, 8, 6, 4, fal...         0.00%       0.000us         0.00%       0.000us       0.000us      38.592us         0.00%      38.592us       2.412us            16  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      33.440us         0.00%      33.440us       1.045us            32  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      32.032us         0.00%      32.032us       1.001us            32  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      29.088us         0.00%      29.088us       1.818us            16  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 28.021s
Self CUDA time total: 20.494s

